Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
115,14786,P. DiMarco,33.2,3,7,2.3,0,7,5,41,0,17.7,5.4,0,null,100,2.3,7.67,33.3,66.7,0
116,19072,A. Armah,28.1,6,11,1.8,1,2,2,6,0,8.6,3.3,16.7,4,83.3,1.4,7.17,50,16.7,33.3
117,12386,M. Lynch,36.2,12,34,2.8,1,0,0,0,0,32.9,44.4,16.7,0,83.3,3.4,7.08,16.7,58.3,25
118,18764,T. Pope,28.6,10,20,2,0,3,2,14,1,4,3.9,60,2.7,40,1,5.8,0,10,90
119,21310,K. Blasingame,26,0,0,null,0,5,4,54,0,10.5,4.2,null,null,null,null,null,null,null,null
120,15185,K. Barner,33.2,4,28,7,0,8,6,22,0,6.7,3.2,100,7,0,null,6.25,0,25,75
121,21456,J. Hilliman,26.6,30,91,3,0,4,3,1,0,56.6,46.6,30,3.6,70,2.8,7.23,36.7,40,23.3
122,20904,D. Ozigbo,25.8,9,27,3,0,5,3,23,0,33.3,42.4,11.1,2,88.9,3.1,7.11,33.3,33.3,33.3
123,18152,D. Washington,28.2,8,60,7.5,0,1,1,6,0,2.4,5.1,0,null,100,7.5,6.75,0,75,25
124,18617,E. Penny,28.9,15,39,2.6,0,4,2,9,0,12.8,7.9,26.7,2,73.3,2.8,7.07,53.3,13.3,26.7
125,13063,T. Jones,33.9,9,40,4.4,0,1,1,9,0,10.9,16.9,33.3,3.7,66.7,4.8,5.78,0,11.1,88.9
126,20018,N. Bawden,26,0,0,null,0,6,4,17,0,8.5,3.9,null,null,null,null,null,null,null,null
127,13418,A. Sherman,33.6,4,9,2.2,0,3,2,22,0,4.4,6.4,25,0,75,3,7.5,75,0,25
128,17972,P. Perkins,27.6,13,29,2.2,0,1,1,9,0,11.5,25,23.1,5.7,69.2,1.3,6.15,7.7,46.2,38.5
129,15020,C. Anderson,31.4,16,43,2.7,0,0,0,0,0,28.1,27.6,25,4.2,75,2.2,7.25,37.5,50,12.5
130,19032,T. Logan,27.8,3,10,3.3,0,3,2,13,0,2.2,2.3,66.7,4,33.3,2,7.67,33.3,33.3,33.3
131,18041,T. Ervin,28.7,1,10,10,0,4,2,11,0,5.2,2.5,100,10,0,null,5,0,0,100
132,17023,Z. Zenner,30.8,3,-2,-0.7,0,3,2,19,0,17,8,66.7,0.5,33.3,-3,6,0,0,100
133,16909,J. Ajayi,29.1,10,30,3,0,1,0,0,0,8.4,12.8,60,3.2,40,2.8,6.5,10,30,60
134,20600,D. Dawkins,27.5,11,26,2.4,0,1,0,0,0,17.6,23.1,9.1,1,90.9,2.5,6.36,18.2,54.5,18.2
135,16534,R. Nix,30.3,0,0,null,0,3,2,4,0,18.4,4.3,null,null,null,null,null,null,null,null
136,19206,R. Ortiz,28.2,0,0,null,0,1,1,8,0,12.1,3.1,null,null,null,null,null,null,null,null
137,18993,S. Perine,26.8,5,16,3.2,0,0,0,0,0,9.1,23.8,60,4.3,40,1.5,6.6,0,60,40
138,21100,J. Johnson,27.6,0,0,null,0,2,1,5,0,18.6,4.8,null,null,null,null,null,null,null,null
139,16441,S. Perry,30.8,3,3,1,0,1,1,1,0,6.6,7.4,33.3,-2,66.7,2.5,6.67,0,66.7,33.3
140,20075,J. Adams,25.7,8,12,1.5,0,0,0,0,0,8.1,11.3,0,null,100,1.5,8,100,0,0
141,20790,D. Harris,25.4,4,12,3,0,0,0,0,0,5.1,9.3,0,null,100,3,8.5,100,0,0
142,20984,D. Williams,25.5,5,11,2.2,0,0,0,0,0,7.2,7.6,40,2.5,60,2,6.4,0,40,60
143,20318,B. Howell,26.3,5,10,2,0,0,0,0,0,18.8,6.8,60,1.7,40,2.5,6.2,0,20,80
144,18217,J. Ferguson,29.1,3,9,3,0,0,0,0,0,5.9,12,0,null,100,3,6.67,0,66.7,33.3
145,19957,J. Kelly,25.8,3,9,3,0,0,0,0,0,4.1,8.8,0,null,100,3,7,0,100,0
146,20935,J. Scarlett,27,4,9,2.2,0,0,0,0,0,7.1,14.8,0,null,100,2.2,6,75,0,0
147,20106,R. Nall,26.5,2,8,4,0,0,0,0,0,3.4,3.2,100,4,0,null,5.5,0,0,100
148,21549,T. Brooks-James,27.6,8,7,0.9,0,0,0,0,0,7,8.5,62.5,2.2,25,-3.5,5.38,0,37.5,50
149,20562,D. Turner,26.9,4,6,1.5,0,0,0,0,0,7,12.5,25,1,75,1.7,7.75,75,25,0
150,14269,A. Morris,33.6,1,4,4,0,0,0,0,0,2.1,4.8,100,4,0,null,5,0,0,100
151,14783,J. Develin,34,2,3,1.5,0,0,0,0,0,22.2,5.4,0,null,100,1.5,8.5,100,0,0
152,14789,J. Olawale,33.2,0,0,null,0,2,0,0,0,14.1,2.2,null,null,null,null,null,null,null,null
153,16928,M. Burton,30.4,0,0,null,0,1,0,0,0,10.9,4.2,null,null,null,null,null,null,null,null
154,18253,D. Foster,28.6,0,0,null,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null
155,20040,T. Cannon,28,0,0,null,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null
156,19548,C. Clement,27.7,0,0,null,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null
